Név;Kategória;Aliasok
"Első komplex fogorvosi vizsgálat";"Vizsgálat és diagnosztika";"első vizsgálat|komplex vizsgálat|st.praes.|stomatológiai vizsgálat|fogászati alapvizsgálat"
"Kontroll vizsgálat (15 perc)";"Vizsgálat és diagnosztika";"kontroll|kontroll 15|rövid kontroll|recall"
"Kontroll vizsgálat (30 perc)";"Vizsgálat és diagnosztika";"kontroll 30|hosszú kontroll"
"Sürgősségi vizsgálat";"Vizsgálat és diagnosztika";"akut|sürgősségi|ügyeleti|fájdalom miatti vizsgálat"
"Konzultáció (15 perc)";"Vizsgálat és diagnosztika";"konz|konzi|rövid konzultáció|tanácsadás"
"Konzultáció (30 perc)";"Vizsgálat és diagnosztika";"konz 30|standard konzultáció"
"Konzultáció (60 perc)";"Vizsgálat és diagnosztika";"konz 60|hosszú konzultáció|részletes konzultáció"
"Online/videó konzultáció";"Vizsgálat és diagnosztika";"online konzi|skype konz|zoom konzultáció|távkonzultáció"
"Második vélemény konzultáció";"Vizsgálat és diagnosztika";"second opinion|véleménykérés|szakorvosi vélemény"
"Ismétlő konzultáció";"Vizsgálat és diagnosztika";"ismétlő konzi|újabb konzultáció|follow-up konzultáció"
"Páciens dokumentáció kiállítása";"Vizsgálat és diagnosztika";"dokumentáció|leírás|kórleírás|orvosi igazolás"
"Szakvélemény kiállítása";"Vizsgálat és diagnosztika";"szakvélemény|igazolás|orvosi szakvélemény"
"Góckutatás (CBCT/OP elemzés alapján)";"Vizsgálat és diagnosztika";"góckutatás|gócvizsgálat|fókuszvizsgálat"
"Vitalitásvizsgálat";"Vizsgálat és diagnosztika";"vitalitás|vitálteszt|hidegteszt|electric pulp test|EPT"
"OP panoráma röntgen";"Vizsgálat és diagnosztika";"OP|panoráma|panorámaröntgen|orthopantomogram|OPG"
"PA fogászati röntgen";"Vizsgálat és diagnosztika";"PA|kis röntgen|periapikális|fogfilm|RTG"
"Bitewing röntgen";"Vizsgálat és diagnosztika";"bitewing|harapási röntgen|szárnyas röntgen"
"CBCT (kis volumenű, fogászati)";"Vizsgálat és diagnosztika";"CBCT|cone beam|3D röntgen|kis CBCT"
